Variable,Type_Adaptation,Category,Adaptation_Strategy,Adaptation_Strategy_RGX
Adaptation_Type,Transformational,Physical Infrastructure Management,Farm Technology,"use[a-z]* [[a-z]*\s{0,1}]{0,1}technolog[a-z]*"
Adaptation_Type,Transformational,Information Management ,Local Knowledge,indigeno(u|)s knowledge
Adaptation_Type,Transformational,Information Management ,Local Knowledge,local[a-z]* knowledge
Adaptation_Type,Transformational,Information Management ,Migration,(?:^|\W)relocation
Adaptation_Type,Transformational,Information Management ,Migration,displacement(s|)
Adaptation_Type,Transformational,Information Management ,Migration,migrant[a-z]*
Adaptation_Type,Transformational,Information Management ,Migration,migrat[a-z]*
Adaptation_Type,Transformational,Information Management ,Migration,"movement[a-z]* [[a-z]*\s{0,1}]{0,1}people"
Adaptation_Type,Transformational,Information Management ,Migration,people mov[a-z]*
Adaptation_Type,Transformational,Information Management ,Traditional Knowledge,indigeno(u|)s knowledge
Adaptation_Type,Transformational,Information Management ,Traditional Knowledge,tradition[a-z]* knowledge
